var_from,var_to,corr
Alcohol (gm),Alpha-carotene (mcg),0.0577
Added alpha-tocopherol (Vitamin E) (mg),Alpha-carotene (mcg),0.0819
Total protein (g/L),Alpha-carotene (mcg),0.0438
Lutein + zeaxanthin (mcg),Alpha-carotene (mcg),0.4843
Riboflavin (Vitamin B2) (mg),Alpha-carotene (mcg),0.2197
Vitamin E as alpha-tocopherol (mg),Alpha-carotene (mcg),0.2564
Bicarbonate (mmol/L),Alpha-carotene (mcg),-0.0342
Added vitamin B12 (mcg),Alpha-carotene (mcg),0.0472
PFA 18:4 (Octadecatetraenoic) (gm),Alpha-carotene (mcg),0.0964
Total Folate (mcg),Alpha-carotene (mcg),0.2859
Red blood cell count (million cells/uL),Alpha-carotene (mcg),-0.083
Uric acid (umol/L),Alpha-carotene (mcg),-0.1073
Beta-carotene (mcg),Alpha-carotene (mcg),0.443
Vitamin B6 (mg),Alpha-carotene (mcg),0.2479
Theobromine (mg),Alpha-carotene (mcg),0.0373
Niacin (mg),Alpha-carotene (mcg),0.1968
Iron (mg),Alpha-carotene (mcg),0.2362
Basophils number,Alpha-carotene (mcg),0.0279
Caffeine (mg),Alpha-carotene (mcg),0.035
Lactate dehydrogenase LDH (U/L),Alpha-carotene (mcg),-0.0844
Creatinine (umol/L),Alpha-carotene (mcg),-0.0548
Hemoglobin (g/dL),Alpha-carotene (mcg),0.0011
Segmented neutrophils percent (%),Alpha-carotene (mcg),0.0597
Alanine aminotransferase ALT (U/L),Alpha-carotene (mcg),0.0432
"Bilirubin, total (umol/L)",Alpha-carotene (mcg),-0.048
"Albumin, urine (mg/L) SI",Alpha-carotene (mcg),-0.0144
Calcium (mg),Alpha-carotene (mcg),0.2611
Monocyte percent (%),Alpha-carotene (mcg),-0.0635
Vitamin B12 (mcg),Alpha-carotene (mcg),0.1832
Eosinophils percent (%),Alpha-carotene (mcg),0.0505
Glycohemoglobin (%),Alpha-carotene (mcg),-0.0743
Sodium (mg),Alpha-carotene (mcg),0.2659
Carbohydrate (gm),Alpha-carotene (mcg),0.2175
Platelet count SI (1000 cells/uL),Alpha-carotene (mcg),0.02
Energy (kcal),Alpha-carotene (mcg),0.2359
Segmented neutrophils number,Alpha-carotene (mcg),0.0861
Folic acid (mcg),Alpha-carotene (mcg),0.1302
Retinol (mcg),Alpha-carotene (mcg),0.072
Cholesterol (mg),Alpha-carotene (mcg),0.2165
Protein (gm),Alpha-carotene (mcg),0.2297
Total sugars (gm),Alpha-carotene (mcg),0.1542
MFA 22:1 (Docosenoic) (gm),Alpha-carotene (mcg),0.1559
Osmolality (mmol/Kg),Alpha-carotene (mcg),-0.0018
Blood urea nitrogen (mmol/L),Alpha-carotene (mcg),-0.0168
Gamma glutamyl transferase (U/L),Alpha-carotene (mcg),0.0035
Mean cell volume (fL),Alpha-carotene (mcg),0.1317
Total saturated fatty acids (gm),Alpha-carotene (mcg),0.1948
Copper (mg),Alpha-carotene (mcg),0.2904
PFA 18:2 (Octadecadienoic) (gm),Alpha-carotene (mcg),0.2264
SFA 12:0 (Dodecanoic) (gm),Alpha-carotene (mcg),0.2156
"Glucose, serum (mmol/L)",Alpha-carotene (mcg),0.001
Phosphorus (mg),Alpha-carotene (mcg),0.2377
Food folate (mcg),Alpha-carotene (mcg),0.3675
SFA 18:0 (Octadecanoic) (gm),Alpha-carotene (mcg),0.1769
Hematocrit (%),Alpha-carotene (mcg),-0.007
SFA 14:0 (Tetradecanoic) (gm),Alpha-carotene (mcg),0.1868
White blood cell count (1000 cells/uL),Alpha-carotene (mcg),0.0858
Lymphocyte number,Alpha-carotene (mcg),0.0423
"Vitamin A, RAE (mcg)",Alpha-carotene (mcg),0.2447
PFA 22:6 (Docosahexaenoic) (gm),Alpha-carotene (mcg),0.1346
